naam,trap,loon
A111,0,2278000
A111,1,2353000
A111,2,2428000
A111,3,2498000
A111,4,2498000
A111,5,2498000
A111,6,2653000
A111,7,2653000
A111,8,2653000
A111,9,2803000
A111,10,2803000
A111,11,2803000
A111,12,2953000
A111,13,2953000
A111,14,2953000
A111,15,3098000
A111,16,3098000
A111,17,3098000
A111,18,3253000
A111,19,3253000
A111,20,3253000
A111,21,3378000
A111,22,3378000
A111,23,3378000
A111,24,3503000
A112,0,2498000
A112,1,2573000
A112,2,2653000
A112,3,2728000
A112,4,2728000
A112,5,2728000
A112,6,2878000
A112,7,2878000
A112,8,2878000
A112,9,3028000
A112,10,3028000
A112,11,3028000
A112,12,3178000
A112,13,3178000
A112,14,3178000
A112,15,3328000
A112,16,3328000
A112,17,3328000
A112,18,3478000
A112,19,3478000
A112,20,3478000
A112,21,3603000
A112,22,3603000
A112,23,3603000
A112,24,3728000
A113,0,2728000
A113,1,2803000
A113,2,2878000
A113,3,2953000
A113,4,2953000
A113,5,2953000
A113,6,3098000
A113,7,3098000
A113,8,3098000
A113,9,3253000
A113,10,3253000
A113,11,3253000
A113,12,3403000
A113,13,3403000
A113,14,3403000
A113,15,3553000
A113,16,3553000
A113,17,3553000
A113,18,3703000
A113,19,3703000
A113,20,3703000
A113,21,3828000
A113,22,3828000
A113,23,3828000
A113,24,3953000
A291,0,2938000
A291,1,3038000
A291,2,3143000
A291,3,3243000
A291,4,3243000
A291,5,3243000
A291,6,3438000
A291,7,3438000
A291,8,3438000
A291,9,3643000
A291,10,3643000
A291,11,3643000
A291,12,3843000
A291,13,3843000
A291,14,3843000
A291,15,4038000
A291,16,4038000
A291,17,4038000
A291,18,4218000
A291,19,4218000
A291,20,4218000
A291,21,4393000
A291,22,4393000
A291,23,4393000
A291,24,4563000
A292,0,3703000
A292,1,3803000
A292,2,3903000
A292,3,4003000
A292,4,4003000
A292,5,4003000
A292,6,4208000
A292,7,4208000
A292,8,4208000
A292,9,4403000
A292,10,4403000
A292,11,4403000
A292,12,4603000
A292,13,4603000
A292,14,4603000
A292,15,4808000
A292,16,4808000
A292,17,4808000
A292,18,5003000
A292,19,5003000
A292,20,5003000
A292,21,5208000
A292,22,5208000
A292,23,5208000
A292,24,5283000
A293,0,3143000
A293,1,3218000
A293,2,3293000
A293,3,3398000
A293,4,3398000
A293,5,3398000
A293,6,3548000
A293,7,3548000
A293,8,3548000
A293,9,3708000
A293,10,3708000
A293,11,3708000
A293,12,3878000
A293,13,3878000
A293,14,3878000
A293,15,4078000
A293,16,4078000
A293,17,4078000
A293,18,4338000
A293,19,4338000
A293,20,4338000
A293,21,4498000
A293,22,4498000
A293,23,4498000
A293,24,4588000
B111,0,1693000
B111,1,1744000
B111,2,1795000
B111,3,1846000
B111,4,1846000
B111,5,1846000
B111,6,1918000
B111,7,1918000
B111,8,1918000
B111,9,1994000
B111,10,1994000
B111,11,1994000
B111,12,2071000
B111,13,2071000
B111,14,2071000
B111,15,2152000
B111,16,2152000
B111,17,2152000
B111,18,2228000
B111,19,2228000
B111,20,2228000
B111,21,2303000
B111,22,2303000
B111,23,2303000
B111,24,2378000
B111,25,2473000
B112,0,1867000
B112,1,1918000
B112,2,1969000
B112,3,2020000
B112,4,2020000
B112,5,2020000
B112,6,2101000
B112,7,2101000
B112,8,2101000
B112,9,2178000
B112,10,2178000
B112,11,2178000
B112,12,2253000
B112,13,2253000
B112,14,2253000
B112,15,2328000
B112,16,2328000
B112,17,2328000
B112,18,2403000
B112,19,2403000
B112,20,2403000
B112,21,2473000
B112,22,2473000
B112,23,2473000
B112,24,2548000
B112,25,2548000
B112,26,2548000
B112,27,2653000
B113,0,2096000
B113,1,2147000
B113,2,2198000
B113,3,2248000
B113,4,2248000
B113,5,2248000
B113,6,2328000
B113,7,2328000
B113,8,2328000
B113,9,2408000
B113,10,2408000
B113,11,2408000
B113,12,2483000
B113,13,2483000
B113,14,2483000
B113,15,2563000
B113,16,2563000
B113,17,2563000
B113,18,2648000
B113,19,2648000
B113,20,2648000
B113,21,2728000
B113,22,2728000
B113,23,2728000
B113,24,2788000
B113,25,2788000
B113,26,2788000
B113,27,2853000
C111,0,1423000
C111,1,1474000
C111,2,1525000
C111,3,1571000
C111,4,1571000
C111,5,1571000
C111,6,1652000
C111,7,1652000
C111,8,1652000
C111,9,1729000
C111,10,1729000
C111,11,1729000
C111,12,1805000
C111,13,1805000
C111,14,1805000
C111,15,1907000
C111,16,1907000
C111,17,1907000
C111,18,2009000
C111,19,2009000
C111,20,2009000
C111,21,2116000
C111,22,2116000
C111,23,2116000
C111,24,2213000
C111,25,2288000
C112,0,1510000
C112,1,1561000
C112,2,1617000
C112,3,1668000
C112,4,1668000
C112,5,1668000
C112,6,1744000
C112,7,1744000
C112,8,1744000
C112,9,1821000
C112,10,1821000
C112,11,1821000
C112,12,1892000
C112,13,1892000
C112,14,1892000
C112,15,1994000
C112,16,1994000
C112,17,1994000
C112,18,2101000
C112,19,2101000
C112,20,2101000
C112,21,2203000
C112,22,2203000
C112,23,2203000
C112,24,2303000
C112,25,2303000
C112,26,2303000
C112,27,2403000
C113,0,1703000
C113,1,1754000
C113,2,1805000
C113,3,1856000
C113,4,1856000
C113,5,1856000
C113,6,1933000
C113,7,1933000
C113,8,1933000
C113,9,2009000
C113,10,2009000
C113,11,2009000
C113,12,2086000
C113,13,2086000
C113,14,2086000
C113,15,2188000
C113,16,2188000
C113,17,2188000
C113,18,2288000
C113,19,2288000
C113,20,2288000
C113,21,2388000
C113,22,2388000
C113,23,2388000
C113,24,2488000
C113,25,2488000
C113,26,2488000
C113,27,2588000
D111,0,1321000
D111,1,1346000
D111,2,1372000
D111,3,1397000
D111,4,1397000
D111,5,1397000
D111,6,1448000
D111,7,1448000
D111,8,1448000
D111,9,1499000
D111,10,1499000
D111,11,1499000
D111,12,1545000
D111,13,1545000
D111,14,1545000
D111,15,1601000
D111,16,1601000
D111,17,1601000
D111,18,1652000
D111,19,1652000
D111,20,1652000
D111,21,1703000
D111,22,1703000
D111,23,1703000
D111,24,1754000
D111,25,1821000
D112,0,1408000
D112,1,1433000
D112,2,1459000
D112,3,1484000
D112,4,1484000
D112,5,1484000
D112,6,1535000
D112,7,1535000
D112,8,1535000
D112,9,1591000
D112,10,1591000
D112,11,1591000
D112,12,1642000
D112,13,1642000
D112,14,1642000
D112,15,1693000
D112,16,1693000
D112,17,1693000
D112,18,1744000
D112,19,1744000
D112,20,1744000
D112,21,1795000
D112,22,1795000
D112,23,1795000
D112,24,1856000
D112,25,1856000
D112,26,1856000
D112,27,1918000
D113,0,1510000
D113,1,1535000
D113,2,1561000
D113,3,1591000
D113,4,1591000
D113,5,1591000
D113,6,1642000
D113,7,1642000
D113,8,1642000
D113,9,1693000
D113,10,1693000
D113,11,1693000
D113,12,1744000
D113,13,1744000
D113,14,1744000
D113,15,1795000
D113,16,1795000
D113,17,1795000
D113,18,1846000
D113,19,1846000
D113,20,1846000
D113,21,1892000
D113,22,1892000
D113,23,1892000
D113,24,1958000
D113,25,1958000
D113,26,1958000
D113,27,2020000
D241,0,1693000
D241,1,1719000
D241,2,1744000
D241,3,1770000
D241,4,1770000
D241,5,1770000
D241,6,1821000
D241,7,1821000
D241,8,1821000
D241,9,1867000
D241,10,1867000
D241,11,1867000
D241,12,1918000
D241,13,1918000
D241,14,1918000
D241,15,1969000
D241,16,1969000
D241,17,1969000
D241,18,2045000
D241,19,2045000
D241,20,2045000
D241,21,2152000
D241,22,2152000
D241,23,2152000
D241,24,2253000
D241,25,2253000
D241,26,2253000
D241,27,2353000
D242,0,2101000
D242,1,2127000
D242,2,2152000
D242,3,2178000
D242,4,2178000
D242,5,2178000
D242,6,2228000
D242,7,2228000
D242,8,2228000
D242,9,2278000
D242,10,2278000
D242,11,2278000
D242,12,2328000
D242,13,2328000
D242,14,2328000
D242,15,2378000
D242,16,2378000
D242,17,2378000
D242,18,2428000
D242,19,2428000
D242,20,2428000
D242,21,2473000
D242,22,2473000
D242,23,2473000
D242,24,2523000
D242,25,2523000
D242,26,2523000
D242,27,2573000
D242,28,2573000
D242,29,2573000
D242,30,2643000